"support","attendance","denomination","friends","age","female"
0,2,"Other",0,56,1
0,4,"Other",0,66,1
1,0,"Other",0,67,0
0,3,"Other",1,38,1
0,1,"Other",1,41,1
0,4,"Protestant",0,70,1
1,2,"Other",0,28,0
0,4,"Other",1,20,1
0,4,"Other",0,37,1
0,4,"Other",0,48,1
0,2,"Other",0,60,0
0,0,"Other",0,88,0
0,3,"Other",0,29,0
0,3,"Jewish",0,44,1
1,2,"Other",1,25,0
0,4,"Protestant",0,66,1
1,0,"Other",1,19,1
0,4,"Other",0,74,1
0,2,"Protestant",1,53,1
0,2,"Other",1,24,0
1,3,"Other",0,35,1
0,2,"Protestant",0,66,0
0,3,"Other",1,36,0
0,4,"Protestant",1,50,1
0,4,"Protestant",0,46,1
0,3,"Protestant",1,55,0
0,4,"Protestant",0,62,0
1,0,"Other",1,18,1
1,3,"Other",0,24,1
0,4,"Protestant",1,57,1
0,3,"Other",0,42,1
1,3,"Protestant",0,89,0
0,3,"Protestant",1,60,1
0,4,"Protestant",0,64,1
0,2,"Other",1,30,1
0,4,"Protestant",0,66,1
1,1,"Other",1,27,1
0,2,"Other",0,25,1
0,3,"Other",0,56,1
0,4,"Other",1,42,1
0,4,"Protestant",0,69,1
1,0,"Other",1,21,1
1,4,"Protestant",1,64,1
0,4,"Protestant",0,49,1
1,0,"Jewish",1,46,1
1,3,"Other",1,28,1
1,1,"Other",1,22,1
1,0,"Catholic",1,66,1
1,0,"Protestant",0,79,1
1,4,"Other",1,62,0
0,2,"Other",1,69,1
0,2,"Other",1,32,1
0,2,"Protestant",1,80,0
0,2,"Protestant",1,35,1
0,4,"Protestant",0,32,0
0,0,"Other",0,47,0
1,3,"Other",0,53,0
0,0,"Other",1,52,0
0,1,"Other",0,43,1
0,4,"Other",1,54,1
0,4,"Protestant",0,77,1
0,4,"Protestant",1,31,1
0,3,"Other",0,38,1
1,0,"Other",1,26,0
0,3,"Other",0,41,1
0,4,"Other",1,43,1
0,2,"Other",1,45,1
1,3,"Other",1,51,1
0,4,"Protestant",1,49,1
1,4,"Other",0,65,0
0,1,"Other",0,62,0
0,4,"Other",1,40,0
1,2,"Other",0,23,0
0,3,"Protestant",0,78,1
0,2,"Protestant",0,81,1
0,1,"Other",0,46,0
0,4,"Other",1,30,0
0,4,"Catholic",0,80,0
0,3,"Other",0,45,1
1,3,"Protestant",0,69,0
